"taxon_name","original_text","description","form","stem","leaf","flower","fruit","seed","root"
"Acacia phlebophylla","Erect or spreading shrub to 3 (rarely to 6) m high. Phyllodes oblanceolate, obovate or elliptic, 4–14 cm long, 15–60 mm wide, commonly asymmetric, obtuse, thick-textured; margins uneven and mostly resinous; main veins mostly 3, secondary veins prominent, strongly reticulate; gland small or obscure, 3–9 mm above axil. Spikes 1–2 per axil, to 6 cm long, yellow; rachis glabrous; peduncle c. 5 mm long. Flowers 4-merous, scattered; sepals united, glabrous. Pods subcylindric, 2.5–11.5 cm long, 8–12 mm wide, gently curved; seeds elliptic, 5–7.5 mm long, funicle usually folded 3 times, aril turbinate. Flowers Jun.–Dec.","erect or spreading shrub to 3 (rarely to 6) m high. phyllodes oblanceolate, obovate or elliptic, 4–14 cm long, 15–60 mm wide, commonly asymmetric, obtuse, thick-textured; margins uneven and mostly resinous; main veins mostly 3, secondary veins prominent, strongly reticulate; gland small or obscure, 3–9 mm above axil. spikes 1–2 per axil, to 6 cm long, yellow; rachis glabrous; peduncle circa 5 mm long. flowers 4-merous, scattered; sepals united, glabrous. pods subcylindric, 2.5–11.5 cm long, 8–12 mm wide, gently curved; seeds elliptic, 5–7.5 mm long, funicle usually folded 3 times, aril turbinate. flowers jun.–dec.","erect or spreading shrub to 3 (rarely to 6) m high.",,"phyllodes oblanceolate, obovate or elliptic, 4–14 cm long, 15–60 mm wide, commonly asymmetric, obtuse, thick-textured; margins uneven and mostly resinous; main veins mostly 3, secondary veins prominent, strongly reticulate; gland small or obscure, 3–9 mm above axil.","spikes 1–2 per axil, to 6 cm long, yellow; rachis glabrous; peduncle circa 5 mm long. flowers 4-merous, scattered; sepals united, glabrous. flowers jun.–dec.","pods subcylindric, 2.5–11.5 cm long, 8–12 mm wide, gently curved;","seeds elliptic, 5–7.5 mm long, funicle usually folded 3 times, aril turbinate.",
"Solanum quadriloculatum","Erect or sprawling shrub to 0.5 m high, grey-green or yellowish green, pubescent with stellate hairs, sometimes scabrous; prickles abundant on branches, but also on petioles, peduncles and calyces. Leaves ovate to elliptic, 5–9 cm long, 1.5–4 cm wide, apex acute or rounded, base truncate, margins entire and often slightly undulate, more or less concolorous, both surfaces densely pubescent; petiole 1–4 cm long. Inflorescences simple, up to 20-flowered; peduncle 15–20 mm long. Flowers on pedicels 5–10 mm long; calyx 6–10 mm long, lobes narrowly triangular, 4–6 mm long; corolla stellate or pentagonal, 20–25 mm diam., purple, lobes acute-tipped; anthers 4–6 mm long. Berry depressed-globose, 10–15 mm diam., light yellow-brown; seeds 2–3 mm long, pale mustard-yellow to light grey. Recorded flowering Jan. and Sep., and fruiting in Jan.","erect or sprawling shrub to 0.5 m high, grey-green or yellowish green, pubescent with stellate hairs, sometimes scabrous; prickles abundant on branches, but also on petioles, peduncles and calyces. leaves ovate to elliptic, 5–9 cm long, 1.5–4 cm wide, apex acute or rounded, base truncate, margins entire and often slightly undulate, more or less concolorous, both surfaces densely pubescent; petiole 1–4 cm long. inflorescences simple, up to 20-flowered; peduncle 15–20 mm long. flowers on pedicels 5–10 mm long; calyx 6–10 mm long, lobes narrowly triangular, 4–6 mm long; corolla stellate or pentagonal, 20–25 mm diam., purple, lobes acute-tipped; anthers 4–6 mm long. berry depressed-globose, 10–15 mm diam., light yellow-brown; seeds 2–3 mm long, pale mustard-yellow to light grey. recorded flowering jan. and sep., and fruiting in jan.","erect or sprawling shrub to 0.5 m high, grey-green or yellowish green, pubescent with stellate hairs, sometimes scabrous;","prickles abundant on branches, but also on petioles, peduncles and calyces.","leaves ovate to elliptic, 5–9 cm long, 1.5–4 cm wide, apex acute or rounded, base truncate, margins entire and often slightly undulate, more or less concolorous, both surfaces densely pubescent; petiole 1–4 cm long.","inflorescences simple, up to 20-flowered; peduncle 15–20 mm long. flowers on pedicels 5–10 mm long; calyx 6–10 mm long, lobes narrowly triangular, 4–6 mm long; corolla stellate or pentagonal, 20–25 mm diam., purple, lobes acute-tipped; anthers 4–6 mm long. recorded flowering jan. and sep., and fruiting in jan.","berry depressed-globose, 10–15 mm diam., light yellow-brown;","seeds 2–3 mm long, pale mustard-yellow to light grey.",
"Corunastylis archeri","Flowering plants 10–20 cm tall. Leaf lamina appressed to peduncle below the lowest flower. Inflorescence 1.5–3 cm long, moderately dense. Flowers 5–15, yellowish green with purplish suffusions and stripes, 4.5–5 mm across, porrect or nodding; perianth segments spreading widely; dorsal sepal ovate, 4–4.5 mm long, c. 2 mm across, margins hairless, entire, apex acuminate; lateral sepals divergent, linear-lanceolate, 5–5.5 mm long, c. 1.5 mm wide, margins hairless, slightly pouched at base; petals ovate, 3–4 mm long, c. 1.5 mm wide, margins hairless, entire. Labellum broadly ovate, 3–3.5 mm long, 1.6–2 mm across, margins with coarse cilia to 1 mm long, apex pointed, recurved; callus narrow-ovate, extending nearly to the labellum apex. Column wings densely scabrous. Flowers Nov.–Mar.","floweringplants 10–20 cm tall. leaf lamina appressed to peduncle below the lowest flower. inflorescence 1.5–3 cm long, moderately dense. flowers 5–15, yellowish green with purplish suffusions and stripes, 4.5–5 mm across, porrect or nodding; perianth segments spreading widely; dorsal sepal ovate, 4–4.5 mm long, circa 2 mm across, margins hairless, entire, apex acuminate; lateral sepals divergent, linear-lanceolate, 5–5.5 mm long, circa 1.5 mm wide, margins hairless, slightly pouched at base; petals ovate, 3–4 mm long, circa 1.5 mm wide, margins hairless, entire. labellum broadly ovate, 3–3.5 mm long, 1.6–2 mm across, margins with coarse cilia to 1 mm long, apex pointed, recurved; callus narrow-ovate, extending nearly to the labellum apex. column wings densely scabrous. flowers nov.–mar.","floweringplants 10–20 cm tall.",,"leaf lamina appressed to peduncle below the lowest flower.","inflorescence 1.5–3 cm long, moderately dense. flowers 5–15, yellowish green with purplish suffusions and stripes, 4.5–5 mm across, porrect or nodding; perianth segments spreading widely; dorsal sepal ovate, 4–4.5 mm long, circa 2 mm across, margins hairless, entire, apex acuminate; lateral sepals divergent, linear-lanceolate, 5–5.5 mm long, circa 1.5 mm wide, margins hairless, slightly pouched at base; petals ovate, 3–4 mm long, circa 1.5 mm wide, margins hairless, entire. labellum broadly ovate, 3–3.5 mm long, 1.6–2 mm across, margins with coarse cilia to 1 mm long, apex pointed, recurved; callus narrow-ovate, extending nearly to the labellum apex. column wings densely scabrous. flowers nov.–mar.",,,
"Hordeum secalinum","Densely tufted or shortly rhizomatous, often glaucous perennial, culms erect to 70 cm high. Leaf-blades flat, 6–15 cm long and 2–4 mm wide, variably covered with fine spreading hairs; sheaths of lower leaves velvety, those of upper leaves glabrous; ligules membranous, c. 1 mm long; auricles not developed. Spike 4–15 cm long. Glumes of spikelets in each triad subulate, subequal or those of the lateral spikelets slightly shorter, 10–20 mm long; lemma of central spikelet scabrous in upper part, 4–8 mm long, with a straight terminal awn shortly exceeding glumes; awn and lemma of sterile lateral spikelets together only about as long as body of central lemma, or sometimes lateral florets barely developed; palea subequal to lemma. Flowers Oct.–Feb.","densely tufted or shortly rhizomatous, often glaucous perennial, culms erect to 70 cm high. leaf-blades flat, 6–15 cm long and 2–4 mm wide, variably covered with fine spreading hairs; sheaths of lower leaves velvety, those of upper leaves glabrous; ligules membranous, circa 1 mm long; auricles not developed. spike 4–15 cm long. glumes of spikelets in each triad subulate, subequal or those of the lateral spikelets slightly shorter, 10–20 mm long; lemma of central spikelet scabrous in upper part, 4–8 mm long, with a straight terminal awn shortly exceeding glumes; awn and lemma of sterile lateral spikelets together only about as long as body of central lemma, or sometimes lateral florets barely developed; palea subequal to lemma. flowers oct.–feb.","densely tufted or shortly rhizomatous, often glaucous perennial, culms erect to 70 cm high.",,"leaf-blades flat, 6–15 cm long and 2–4 mm wide, variably covered with fine spreading hairs; sheaths of lower leaves velvety, those of upper leaves glabrous; ligules membranous, circa 1 mm long; auricles not developed.","spike 4–15 cm long. glumes of spikelets in each triad subulate, subequal or those of the lateral spikelets slightly shorter, 10–20 mm long; flowers oct.–feb.","lemma of central spikelet scabrous in upper part, 4–8 mm long, with a straight terminal awn shortly exceeding glumes; awn and lemma of sterile lateral spikelets together only about as long as body of central lemma, or sometimes lateral florets barely developed; palea subequal to lemma.",,
"Veronica notabilis","Stoloniferous perennial; flowering stems to 40 cm high, hairs long, soft, spreading or antrorsely curved, cells of the hairs often collapsed. Leaves ovate to narrow-ovate, mostly 3.5–6 cm long, 10–25 mm wide, apex acute, base cuneate, margins with 5–12 pairs of antrorse or spreading teeth; petiole 6–17 mm long. Racemes lateral, mostly 5–17.5 cm long, 10–20-flowered; peduncle 1–7 cm long; bracts 3.5–10 mm long; fruiting pedicels spreading or upcurved, 5–17 mm long. Calyx-lobes 5–7 mm long, 2–2.5 mm wide in fruit, with short curved hairs on margins but usually c. glabrous towards apex; corolla 4–8 mm long, lavender or white with darker veins. Cap-sule obcordate with rounded lobes, 4–5.5 mm long and slightly broader, glabrous, glossy; style c. 3–4.5 mm long. Flowers spring and summer.","stoloniferous perennial; floweringstems to 40 cm high, hairs long, soft, spreading or antrorsely curved, cells of the hairs often collapsed. leaves ovate to narrow-ovate, mostly 3.5–6 cm long, 10–25 mm wide, apex acute, base cuneate, margins with 5–12 pairs of antrorse or spreading teeth; petiole 6–17 mm long. racemes lateral, mostly 5–17.5 cm long, 10–20-flowered; peduncle 1–7 cm long; bracts 3.5–10 mm long; fruiting pedicels spreading or upcurved, 5–17 mm long. calyx-lobes 5–7 mm long, 2–2.5 mm wide in fruit, with short curved hairs on margins but usually circa glabrous towards apex; corolla 4–8 mm long, lavender or white with darker veins. cap-sule obcordate with rounded lobes, 4–5.5 mm long and slightly broader, glabrous, glossy; style circa 3–4.5 mm long. flowers spring and summer.","stoloniferous perennial;","floweringstems to 40 cm high, hairs long, soft, spreading or antrorsely curved, cells of the hairs often collapsed.","leaves ovate to narrow-ovate, mostly 3.5–6 cm long, 10–25 mm wide, apex acute, base cuneate, margins with 5–12 pairs of antrorse or spreading teeth; petiole 6–17 mm long.","racemes lateral, mostly 5–17.5 cm long, 10–20-flowered; peduncle 1–7 cm long; bracts 3.5–10 mm long; fruiting pedicels spreading or upcurved, 5–17 mm long. calyx-lobes 5–7 mm long, 2–2.5 mm wide in fruit, with short curved hairs on margins but usually circa glabrous towards apex; corolla 4–8 mm long, lavender or white with darker veins. cap-sule obcordate with rounded lobes, 4–5.5 mm long and slightly broader, glabrous, glossy; style circa 3–4.5 mm long. flowers spring and summer.",,,
"Amphibromus sinuatus","Stoloniferous aquatic perennial; culms decumbent, often only the inflorescence emergent, to 120 cm high overall. Leaves glabrous, scabrous; blade flat, to 17 cm long and 1–4 mm wide; ligule acute, 5–11 mm long. Inflorescence a slender, rather sparse panicle, to 25 cm long. Spikelets 4–6-flowered, 12–19 mm long (excluding awns), green or faintly tinged purple; glumes obtuse to acute, the lower 1–3-nerved, 3–4.5 mm long, the upper 3–5-nerved, 4–6 mm long; lemma 6–8.2 mm long, scabrous along nerves in upper part, otherwise mostly smooth, apical teeth 2 or 4, the outer pair smaller and lower when present, the inner pair 0.3–1 mm long; awn 14–26 mm long, inserted 35–50% of the lemma length from the apex, column and bristle not distinguished; palea slightly shorter than lemma. Flowers Oct.–Mar.","stoloniferous aquatic perennial; culms decumbent, often only the inflorescence emergent, to 120 cm high overall. leaves glabrous, scabrous; blade flat, to 17 cm long and 1–4 mm wide; ligule acute, 5–11 mm long. inflorescence a slender, rather sparse panicle, to 25 cm long. spikelets 4–6-flowered, 12–19 mm long (excluding awns), green or faintly tinged purple; glumes obtuse to acute, the lower 1–3-nerved, 3–4.5 mm long, the upper 3–5-nerved, 4–6 mm long; lemma 6–8.2 mm long, scabrous along nerves in upper part, otherwise mostly smooth, apical teeth 2 or 4, the outer pair smaller and lower when present, the inner pair 0.3–1 mm long; awn 14–26 mm long, inserted 35–50% of the lemma length from the apex, column and bristle not distinguished; palea slightly shorter than lemma. flowers oct.–mar.","stoloniferous aquatic perennial;","culms decumbent, often only the inflorescence emergent, to 120 cm high overall.","leaves glabrous, scabrous; blade flat, to 17 cm long and 1–4 mm wide; ligule acute, 5–11 mm long.","inflorescence a slender, rather sparse panicle, to 25 cm long. flowers oct.–mar.","spikelets 4–6-flowered, 12–19 mm long (excluding awns), green or faintly tinged purple; glumes obtuse to acute, the lower 1–3-nerved, 3–4.5 mm long, the upper 3–5-nerved, 4–6 mm long; lemma 6–8.2 mm long, scabrous along nerves in upper part, otherwise mostly smooth, apical teeth 2 or 4, the outer pair smaller and lower when present, the inner pair 0.3–1 mm long; awn 14–26 mm long, inserted 35–50% of the lemma length from the apex, column and bristle not distinguished; palea slightly shorter than lemma.",,
"Zygophyllaceae","Shrubs, subshrubs or herbs, annual or perennial, mostly xerophytes or halophytes. Leaves opposite, alternate or clustered, simple, bifid, multifid or pinnate, rarely ternate, usually fleshy; stipules usually present. Inflorescences terminal cymes or flowers solitary in leaf axils. Flowers regular, usually bisexual; sepals 4 or 5, imbricate, rarely valvate, often persistent; petals 3–5, imbricate or contorted, rarely valvate; stamens usually 2 or 3 times as many as petals, filaments often with membranous basal appendages, anthers 2-celled, dorsifixed or basifixed, dehiscence latrorse; disc usually present; ovary superior, 3–5(rarely 10–12)-celled, often longitudinally angled or winged, ovules 1–many per cell, axile, pendulous, style simple, stigma capitate or lobed. Fruit a loculicidal and/or septicidal capsule, indehiscent nut, schizocarp (splitting into mericarps) or rarely a drupe, often winged, ridged or with thorns; seeds with or without endosperm.","shrubs, subshrubs or herbs, annual or perennial, mostly xerophytes or halophytes. leaves opposite, alternate or clustered, simple, bifid, multifid or pinnate, rarely ternate, usually fleshy; stipules usually present. inflorescences terminal cymes or flowers solitary in leaf axils. flowers regular, usually bisexual; sepals 4 or 5, imbricate, rarely valvate, often persistent; petals 3–5, imbricate or contorted, rarely valvate; stamens usually 2 or 3 times as many as petals, filaments often with membranous basal appendages, anthers 2-celled, dorsifixed or basifixed, dehiscence latrorse; disc usually present; ovary superior, 3–5(rarely 10–12)-celled, often longitudinally angled or winged, ovules 1–many per cell, axile, pendulous, style simple, stigma capitate or lobed. fruit a loculicidal and/or septicidal capsule, indehiscent nut, schizocarp (splitting into mericarps) or rarely a drupe, often winged, ridged or with thorns; seeds with or without endosperm.","shrubs, subshrubs or herbs, annual or perennial, mostly xerophytes or halophytes.","stipules usually present.","leaves opposite, alternate or clustered, simple, bifid, multifid or pinnate, rarely ternate, usually fleshy;","inflorescences terminal cymes or flowers solitary in leaf axils. flowers regular, usually bisexual; sepals 4 or 5, imbricate, rarely valvate, often persistent; petals 3–5, imbricate or contorted, rarely valvate; stamens usually 2 or 3 times as many as petals, filaments often with membranous basal appendages, anthers 2-celled, dorsifixed or basifixed, dehiscence latrorse; disc usually present; ovary superior, 3–5(rarely 10–12)-celled, often longitudinally angled or winged, ovules 1–many per cell, axile, pendulous, style simple, stigma capitate or lobed.","fruit a loculicidal and/or septicidal capsule, indehiscent nut, schizocarp (splitting into mericarps) or rarely a drupe, often winged, ridged or with thorns;","seeds with or without endosperm.",
"Lepidium foliosum","Perennial shrub usually less than 30 cm high (but reputedly to 90 cm), without hairs, smooth (pedicels sometimes papillose); stems erect. Basal leaves bipinnately lobed; stem leaves spathulate, 0.5–4 cm long, 2–6 mm wide, lobed, broadly toothed or entire, thick to leathery. Inflorescence an elongating raceme (corymbose at first). Sepals c. 1.5 mm long; petals usually ovate, clawed and longer than sepals, white; stamens (5–)6. Fruit elliptic to rhombic, 4.5–6 mm long, 3–3.5 mm wide, wings narrow, forming narrow notch; style c. 0.5 mm long, included or slightly exserted; pedicels 4–6 mm long, sometimes papillose on upper surface. Flowers mostly summer.","perennial shrub usually less than 30 cm high (but reputedly to 90 cm), without hairs, smooth (pedicels sometimes papillose); stems erect. basal leaves bipinnately lobed; stem-leaves spathulate, 0.5–4 cm long, 2–6 mm wide, lobed, broadly toothed or entire, thick to leathery. inflorescence an elongating raceme (corymbose at first). sepals circa 1.5 mm long; petals usually ovate, clawed and longer than sepals, white; stamens (5–)6. fruit elliptic to rhombic, 4.5–6 mm long, 3–3.5 mm wide, wings narrow, forming narrow notch; style circa 0.5 mm long, included or slightly exserted; pedicels 4–6 mm long, sometimes papillose on upper surface. flowers mostly summer.","perennial shrub usually less than 30 cm high (but reputedly to 90 cm), without hairs, smooth (pedicels sometimes papillose);","stems erect. stem-leaves spathulate, 0.5–4 cm long, 2–6 mm wide, lobed, broadly toothed or entire, thick to leathery.","basal leaves bipinnately lobed;","inflorescence an elongating raceme (corymbose at first). sepals circa 1.5 mm long; petals usually ovate, clawed and longer than sepals, white; stamens (5–)6. style circa 0.5 mm long, included or slightly exserted; pedicels 4–6 mm long, sometimes papillose on upper surface. flowers mostly summer.","fruit elliptic to rhombic, 4.5–6 mm long, 3–3.5 mm wide, wings narrow, forming narrow notch;",,
"Atriplex papillata","Procumbent to small shrubby perennial, to c. 20 cm high, monoecious. Leaves sessile, oblong to narrowly ovate, 6–16 mm long, 1–3 mm wide, commonly rather thick and inclined to branch-lets, margins entire or weakly toothed, often incurved, both leaves and branchlets typically covered in dense, scaly grey indumentum. Male flowers in small terminal or upper-axillary clusters, sometimes including a few female flowers at the base, female flowers otherwise in small clusters in lower axils. Fruiting bracteoles sessile, grey, fused to near apex, ovoid, 2–4 mm long, covered near the base or almost throughout with numerous spreading, finger-like appendages to c. 1 mm long, absent from the flat, shallowly 3-lobed apex. Fruits Sep.-Dec.","procumbent to small shrubby perennial, to circa 20 cm high, monoecious. leaves sessile, oblong to narrowly ovate, 6–16 mm long, 1–3 mm wide, commonly rather thick and inclined to branch-lets, margins entire or weakly toothed, often incurved, both leaves and branchlets typically covered in dense, scaly grey indumentum. male flowers in small terminal or upper-axillary clusters, sometimes including a few female flowers at the base, female flowers otherwise in small clusters in lower axils. fruiting bracteoles sessile, grey, fused to near apex, ovoid, 2–4 mm long, covered near the base or almost throughout with numerous spreading, finger-like appendages to circa 1 mm long, absent from the flat, shallowly 3-lobed apex. fruits sep.-dec.","procumbent to small shrubby perennial, to circa 20 cm high, monoecious.",,"leaves sessile, oblong to narrowly ovate, 6–16 mm long, 1–3 mm wide, commonly rather thick and inclined to branch-lets, margins entire or weakly toothed, often incurved, both leaves and branchlets typically covered in dense, scaly grey indumentum.","male flowers in small terminal or upper-axillary clusters, sometimes including a few female flowers at the base, female flowers otherwise in small clusters in lower axils. fruiting bracteoles sessile, grey, fused to near apex, ovoid, 2–4 mm long, covered near the base or almost throughout with numerous spreading, finger-like appendages to circa 1 mm long, absent from the flat, shallowly 3-lobed apex.","fruits sep.-dec.",,
"Potentilla indica","Herb to 30 cm high; runners slender, pilose, rooting at nodes, to c.50 cm long. Leaves basal and alternate along runners, 3-foliolate; leaflets ovate to obovate, terminal leaflet equal or slightly larger than laterals, lamina 15–60 mm long, 10–30 mm wide, glabrous to sparsely pilose on upper surface, sparsely to moderately pilose below especially along veins, margins toothed; petiolules 1–2 mm long; petioles 4–15 cm long, covered in long spreading hairs. Peduncle usually only slightly exceeding leaves, 5–15 cm long. Epicalyx segments obovate, 3–5-toothed at apex, with scattered hairs, deflexed at fruiting, c. 5 mm long; sepals ovate, with long, spreading hairs, 6–10 mm long; petals shallowly emarginate to rounded, 5–8 mm long. Fruiting receptacle red, ovoid, 10–15 mm long; achenes hard. Flowers and fruits Sep.–Mar.","herb to 30 cm high; runners slender, pilose, rooting at nodes, to circa50 cm long. leaves basal and alternate along runners, 3-foliolate; leaflets ovate to obovate, terminal leaflet equal or slightly larger than laterals, lamina 15–60 mm long, 10–30 mm wide, glabrous to sparsely pilose on upper surface, sparsely to moderately pilose below especially along veins, margins toothed; petiolules 1–2 mm long; petioles 4–15 cm long, covered in long spreading hairs. peduncle usually only slightly exceeding leaves, 5–15 cm long. epicalyx segments obovate, 3–5-toothed at apex, with scattered hairs, deflexed at fruiting, circa 5 mm long; sepals ovate, with long, spreading hairs, 6–10 mm long; petals shallowly emarginate to rounded, 5–8 mm long. fruiting receptacle red, ovoid, 10–15 mm long; achenes hard. flowers and fruits sep.–mar.","herb to 30 cm high;","runners slender, pilose, rooting at nodes, to circa50 cm long. epicalyx segments obovate, 3–5-toothed at apex, with scattered hairs, deflexed at fruiting, circa 5 mm long;","leaves basal and alternate along runners, 3-foliolate; leaflets ovate to obovate, terminal leaflet equal or slightly larger than laterals, lamina 15–60 mm long, 10–30 mm wide, glabrous to sparsely pilose on upper surface, sparsely to moderately pilose below especially along veins, margins toothed; petiolules 1–2 mm long; petioles 4–15 cm long, covered in long spreading hairs.","peduncle usually only slightly exceeding leaves, 5–15 cm long. sepals ovate, with long, spreading hairs, 6–10 mm long; petals shallowly emarginate to rounded, 5–8 mm long. fruiting receptacle red, ovoid, 10–15 mm long; achenes hard. flowers and fruits sep.–mar.",,,
"Sisyrinchium rosulatum","Annual herb, usually densely tufted, but occasionally a single, few-leaved, complantae tuft. Stem unbranched or branched, erect, 2-angled, 5–20 cm high, c. 1–1.5 mm wide. Leaves linear, 2–6 cm long, 1–3 mm wide. Primary bracts ovate to lanceolate; outer primary bract 1.8–3 cm long; inner primary bract 1.5–2.3 cm long. Perianth 5–7 mm diam., colour variable, pale yellow with brown-purple markings in throat, or lilac to mauve with a purple throat throat, yellow within the tube, usually glandular-pilose externally; lobes oblong-acuminate; staminal filaments 1–1.5 mm long, the lower two-thirds united; anthers up to 1 mm long; ovary c. 1 mm diam., usually glandular-pilose. Capsule 2–3(–)4 mm diam., green to reddish; seeds globose, c. 0.7 mm diam., rugose, black. Flowers Oct.–Jan.(–Mar.).","annual herb, usually densely tufted, but occasionally a single, few-leaved, complantae tuft. stem unbranched or branched, erect, 2-angled, 5–20 cm high, circa 1–1.5 mm wide. leaves linear, 2–6 cm long, 1–3 mm wide. primary bracts ovate to lanceolate; outer primary bract 1.8–3 cm long; inner primary bract 1.5–2.3 cm long. perianth 5–7 mm diam., colour variable, pale yellow with brown-purple markings in throat, or lilac to mauve with a purple throat throat, yellow within the tube, usually glandular-pilose externally; lobes oblong-acuminate; staminal filaments 1–1.5 mm long, the lower two-thirds united; anthers up to 1 mm long; ovary circa 1 mm diam., usually glandular-pilose. capsule 2–3(–)4 mm diam., green to reddish; seeds globose, circa 0.7 mm diam., rugose, black. flowers oct.–jan.(–mar.).","annual herb, usually densely tufted, but occasionally a single, few-leaved, complantae tuft.","stem unbranched or branched, erect, 2-angled, 5–20 cm high, circa 1–1.5 mm wide.","leaves linear, 2–6 cm long, 1–3 mm wide.","primary bracts ovate to lanceolate; outer primary bract 1.8–3 cm long; inner primary bract 1.5–2.3 cm long. perianth 5–7 mm diam., colour variable, pale yellow with brown-purple markings in throat, or lilac to mauve with a purple throat throat, yellow within the tube, usually glandular-pilose externally; lobes oblong-acuminate; staminal filaments 1–1.5 mm long, the lower two-thirds united; anthers up to 1 mm long; ovary circa 1 mm diam., usually glandular-pilose. flowers oct.–jan.(–mar.).","capsule 2–3(–)4 mm diam., green to reddish;","seeds globose, circa 0.7 mm diam., rugose, black.",
"Picris angustifolia subsp. angustifolia","Cauline leaves few, petiolate below, sessile above. Involucre 3–8 mm diam. at anthesis; involucral bracts with 1–3 lines of hairs along midrib. Ligules 10–17 mm long. Cypselas mostly 6–11 mm long, beak shorter than or as long as body; pappus bristles mostly 7–10 mm long Flowers mostly Sep.–Dec.","cauline leaves few, petiolate below, sessile above. involucre 3–8 mm diam. at anthesis; involucral bracts with 1–3 lines of hairs along midrib. ligules 10–17 mm long. cypselas mostly 6–11 mm long, beak shorter than or as long as body; pappus bristles mostly 7–10 mm long flowers mostly sep.–dec.",,,"cauline leaves few, petiolate below, sessile above.","involucre 3–8 mm diam. at anthesis; involucral bracts with 1–3 lines of hairs along midrib. ligules 10–17 mm long. pappus bristles mostly 7–10 mm long flowers mostly sep.–dec.","cypselas mostly 6–11 mm long, beak shorter than or as long as body;",,
"Olearia phlogopappa subsp. insularis","Bushy shrub to 1.5 m high. Leaves thick-textured, oblong, obovate or narrow-elliptic, 15–43(–70) mm long, 3–10(–15) mm wide; margins crenulate to crenate; upper surface yellowish-green or grey-green, with mid-dense to sparse stellate hairs, sometimes glandular; lower surface cream, white or grey (sometimes yellowish when young), densely stellate-hairy, rarely glandular; petiole 2–5 mm long. Capitula pedunculate, in terminal or subterminal panicles or corymbs. Flowers Oct.–Dec.","bushy shrub to 1.5 m high. leaves thick-textured, oblong, obovate or narrow-elliptic, 15–43(–70) mm long, 3–10(–15) mm wide; margins crenulate to crenate; upper surface yellowish-green or grey-green, with mid-dense to sparse stellate hairs, sometimes glandular; lower surface cream, white or grey (sometimes yellowish when young), densely stellate-hairy, rarely glandular; petiole 2–5 mm long. capitula pedunculate, in terminal or subterminal panicles or corymbs. flowers oct.–dec.","bushy shrub to 1.5 m high.",,"leaves thick-textured, oblong, obovate or narrow-elliptic, 15–43(–70) mm long, 3–10(–15) mm wide; margins crenulate to crenate; upper surface yellowish-green or grey-green, with mid-dense to sparse stellate hairs, sometimes glandular; lower surface cream, white or grey (sometimes yellowish when young), densely stellate-hairy, rarely glandular; petiole 2–5 mm long.","capitula pedunculate, in terminal or subterminal panicles or corymbs. flowers oct.–dec.",,,
"Cordyline","Erect or suberect shrubs; stems woody with annular leaf scars on younger growth. Leaves confined to upper parts of branches, apparently sessile or petiolate with sheathing bases. Inflorescence a terminal or lateral panicle. Flowers bisexual; sepals and petals each 3, similar, shortly united at base; staminal filaments attached at base of perianth segments; ovary superior; stigma capitate or 3-lobed. Fruit a berry; seeds few to many, black and shining.","erect or suberect shrubs; stems woody with annular leaf-scars on younger growth. leaves confined to upper parts of branches, apparently sessile or petiolate with sheathing bases. inflorescence a terminal or lateral panicle. flowers bisexual; sepals and petals each 3, similar, shortly united at base; staminal filaments attached at base of perianth segments; ovary superior; stigma capitate or 3-lobed. fruit a berry; seeds few to many, black and shining.","erect or suberect shrubs;","stems woody with annular leaf-scars on younger growth.","leaves confined to upper parts of branches, apparently sessile or petiolate with sheathing bases.","inflorescence a terminal or lateral panicle. flowers bisexual; sepals and petals each 3, similar, shortly united at base; staminal filaments attached at base of perianth segments; ovary superior; stigma capitate or 3-lobed.","fruit a berry;","seeds few to many, black and shining.",
"Correa reflexa var. speciosa","Spreading shrub to 1 m high. Leaves somewhat coriaceous, oblong, or more commonly, narrowly ovate to ovate, mostly (6–)10–20(–30) mm long, 4–12 mm wide, apex obtuse, base rounded to slightly cordate, sparsely stellate and scabrous above (rarely glabrescent), sparsely to densely fawn-tomentose beneath, margin minutely undulate and often recurved. Flower erect or pendent, not clasped by subtending leaves; calyx hemispherical, c. truncate, 4-dentate, 3–4 mm long ferruginous-tomentose; corolla c. cylindric, 2.5–4 cm long, entirely brilliant red, or with green tips. Flowers mostly autumn-spring.","spreading shrub to 1 m high. leaves somewhat coriaceous, oblong, or more commonly, narrowly ovate to ovate, mostly (6–)10–20(–30) mm long, 4–12 mm wide, apex obtuse, base rounded to slightly cordate, sparsely stellate and scabrous above (rarely glabrescent), sparsely to densely fawn-tomentose beneath, margin minutely undulate and often recurved. flower erect or pendent, not clasped by subtending leaves; calyx hemispherical, circa truncate, 4-dentate, 3–4 mm long ferruginous-tomentose; corolla circa cylindric, 2.5–4 cm long, entirely brilliant red, or with green tips. flowers mostly autumn-spring.","spreading shrub to 1 m high.",,"leaves somewhat coriaceous, oblong, or more commonly, narrowly ovate to ovate, mostly (6–)10–20(–30) mm long, 4–12 mm wide, apex obtuse, base rounded to slightly cordate, sparsely stellate and scabrous above (rarely glabrescent), sparsely to densely fawn-tomentose beneath, margin minutely undulate and often recurved.","flower erect or pendent, not clasped by subtending leaves; calyx hemispherical, circa truncate, 4-dentate, 3–4 mm long ferruginous-tomentose; corolla circa cylindric, 2.5–4 cm long, entirely brilliant red, or with green tips. flowers mostly autumn-spring.",,,
