taxon_name,description
Abutilon listeri,"Elegant shrub, 1-3 m high. Stems, petioles and pedicels faintly greyish with minute hairs, often glabrescent. Leaves alternate, simple; lamina circular to broadly ovate, usually 9-16 cm long, entire or weakly crenate, long-acuminate, minutely stellate-hairy, often glabrescent; petiole 0.5-12 cm long; stipules setaceous, c. 2 mm long. Flowers often in loose, terminal panicles with many small leaves. Calyx campanulate; segments 5, ovate, apiculate, fused in basal third. Petals obovate, c. 15 mm long, rounded apically, yellow. Staminal column c. 8 mm long; anthers clustered at apex. Schizocarp not exceeding calyx; mericarps 10-14, 6-8 mm long, truncate with 2 divergent, acute points, and some large, coarse, stellate hairs. Seeds usually 2."
Stachytarpheta mutabilis,"Shrub (1-) 2-5 m high. Stems tetragonal, densely tomentose or villous. Leaves petiolate; petiole 5-30 mm long; lamina ovate-elliptic or oblong-elliptic, 40-140 mm long, 25-80 mm wide, cuneate and long-decurrent on petiole, crenately serrate, villous-scaberulous above, canescent beneath. Spikes stout, terete, 150-600 mm long, densely strigose. Flowers half-immersed in the rhachis furrows; rhachis furrows shallow; bracts ovate-elliptic or narrowly oblong-ovate, 8-12 mm long, 2-3 mm wide. Calyx compressed, weakly ribbed, 8-14 mm long, hirsute outside. Corolla purple-violet or reddish-pink, hypocrateriform; tube curved, dilated at the throat, 13-25 mm long, with glandular hairs; limb c. 13 mm diam. Stamens inserted in corolla-throat. Ovary oblong-elliptic, glabrous; style 13-16 mm long. Fruit subcylindrical, compressed, 5-7 mm long, dark."
Rapistrum,"Annual or biennial herbs. Sepals half-spreading, the inner pair slightly saccate. Petals shortly clawed. Stamens 6. Nectariferous glands 4, a variously shaped glands inside base of short stamens, short ligulate glands outside base of long stamens. Silicula indehiscent, differentiated into two segments; lower segment cylindrical, with 0-2 pendulous seeds, upper segment globular, ribbed, l-seeded, beaked. Cotyledons conduplicate; radicle incumbent."
Endiandra introrsa,"Tree to 40 m high. Stem sometimes buttressed. Twigs mainly terete, eventually almost glabrescent. Leaves: petiole 5-10 mm long; lamina elliptic to lanceolate, 6-9.5 cm long, 1.8-2.7 cm wide, not foveolate, glaucous below, eventually almost glabrescent. Inflorescence axillary, not exceeding leaves. Flowers not opening widely with tepals geniculate, yellowish green, not perfumed. Tepals sparsely pubescent: outer 0.6-0.8 mm long, 1.3-1.6 mm wide; inner 0.5-0.7 mm long, 1.2-1.3 mm wide. Anthers 0.7-0.9 mm long, 1-1.2 mm wide, glabrous, or pubescent adaxially; filaments 0.2 mm long; valves opening inwards; glands absent. Staminodes 3, undifferentiated. Ovary 0.4-0.7 mm long, 0.5-0.7 mm wide, glabrous; style glabrous. Fruit usually globular, 40-55 mm long, 40-50 mm wide, black. Cotyledons yellowish orange."
Pimelea sylvestris,"Shrub 0.3-2 m high. Stems glabrous. Leaves opposite, shortly petiolate, usually narrowly elliptic or elliptic, glabrous, medium green on adaxial surface, similar or paler abaxially; lamina 12-45 mm long, 2.5-20 mm wide. Inflorescence erect, compact, many-flowered; involucral bracts in 2-4 pairs, narrowly ovate or rarely ovate, 8-22 mm long, 2-10 mm wide, glabrous, leaf-like in colour or becoming purplish on abaxial surface. Flowers bisexual, glabrous outside, white or sometimes pink. Hypanthium 7-14 mm long, circumscissile; style-portion 5-11 mm long, hairy inside. Sepals 2.5-6 mm long, glabrous inside. Stamens slightly to greatly exceeding sepals; anther locules semi-latrorse. Ovary distally hairy."
Romulea rosea,See profiles for varieties.
Ranunculus inundatus,"Stoloniferous perennial. Basal leaves with petioles 1-15 cm long, ± glabrous; lamina palmatisect, 1-5 cm diam., glabrous or with few hairs beneath; ultimate segments 0.5-2 mm wide. Flowering stems 5-30 cm high, 1-3-flowered, glabrous, ± pilose at base. Sepals 5, spreading to reflexed, 2-3.5 mm long, glabrous. Petals 5-12, narrowly obovate to oblanceolate, 4-10 mm long, yellow, obtuse; nectary near petal-base, c. 1 mm long, with lobe obtuse, often oblique, free for 1/2-2/3 its length. Stamens 20-30. Pistils 20-45. Receptacle shortly hirsute in stamen zone, subglabrous between achenes. Achenes ± lenticular, 1.5-1.8 mm long; lateral faces almost smooth or irregularly warty; beak reflexed, about 1/2-2/3 as long as achene-body."
Hakea petiolaris subsp. petiolaris,"Resprouting shrub 1.6-3.6 m tall. Leaves spathulate, 5.5-8.6 cm long (including petiole 0.8-1.8 cm long), 2.4-4.6 cm wide, ±abruptly acuminate; surfaces glabrescent but minutely papillose, sometimes patchily appressed-pubescent at flowering time. Perianth pinkish red. Fruit ovate, 3.1-3.6 cm long, 1.8-1.9 cm wide."
Cordia,"Trees or shrubs, glabrous or hairy. Leaves alternate or spirally arranged, petiolate. Inflorescence a few-flowered terminal or axillary cyme. Flowers sometimes heterostylous and sometimes functionally male by reduction of style and stigma. Calyx frequently cup-shaped; lobes short. Corolla small or large, white, yellow, orange or red. Stamens exserted or included. Style terminal, divided twice into 2 to give 4 branches, each with a stigma; stigmas capitate or clavate. Fruit a drupe with fleshy mesocarp or with a corky mesocarp and completely enclosed by persistent calyx, 1-4-seeded."
Myrsine achradifolia,"Tree 8-25 m high; bark nondescript, lenticels prominent; leaf scars obvious. Leaves: petiole 10-32 mm long; lamina elliptic to oblanceolate to obovate, 8-22 cm long, 3-9 cm wide, cuneate base, often slightly revolute margin, obtuse apex, discolorous, coriaceous, glands chiefly dark red and globular. Inflorescence with 4-6 flowers per fascicle, peduncles 2-4 mm long and up to 3 mm wide. Flowers 5-merous; pedicels 3-8 mm long, tendency to curve in flower and in fruit; calyx similar in male and female flowers; corolla campanulate, white to cream, to 3 mm long in male and to 4.6 mm long in female, tube shorter than lobes; fertile anthers 1.5-2 mm long; pistillode to 0.5 mm long; ovary 1.5 mm long, style short or absent, stigmatic lobes spreading; ovules (3 or) 4. Fruit globular to depressed-globular, 5-9 x  5-7 mm, purplish."
Persoonia hexagona,"Erect to spreading shrubs 1-3.5 m tall. Hairs greyish to tawny, appressed to antrorsely spreading. Young branchlets densely hairy. Leaves linear, 5-13 cm long, 0.7-1.3 mm wide, subterete, with 6 prominent, parallel veins, often slightly incurved, suberect to erect, straight or slightly falcate, twisted through 0-180°, pungent, not glaucous, sparsely to moderately hairy when immature, glabrescent, smooth. Inflorescence usually auxotelic, 1-10-flowered; rachis 0-4 cm long. Flowers subtended by scale leaves and leaves; pedicels 7.5-9 mm long, erect, moderately to densely hairy; tepals 10.5-20 mm long, acute to acuminate, sparsely to moderately hairy on outside. Anther appendage acute, 1-1.7 mm long, recurved through 180°. Ovary glabrous to sparsely hairy."
Linospadix microcaryus,"Clustering palm to 3 m tall; stems to 2.5 cm diam. Leaves 5-9, to 70 cm long, irregularly or regularly paripinnate; leaf sheath green, moderately fibrous on margins; petiole 1-23 cm long. Pinnae 2-12 each side of rachis, single or united, lax, to 37 cm long, 1-8 mm wide, light green to mid green adaxially, lighter green abaxially; veins raised on both surfaces. Inflorescence to 90 cm long; peduncle to 40 cm long; rachis to 40 cm long. Staminate flowers symmetric, globose to broadly bullet-shaped, to 2-5 mm long, cream to dull yellow; stamens 8-12, with connective not extending beyond anther. Fruit globose to turbinate, 5-9 mm long, 5-8 mm wide, yelloworange, or pink to red."
Grevillea ilicifolia,"Prostrate to erect shrub 0.3-2.0 m high, to 3 m across. Leaves very variable, 2-11 cm long, 25-60 (-105) mm wide, ovate to obovate in outline, often markedly cuneate in basal half, either toothed subapically with several triangular teeth (some secondary), or shallowly to very deeply lobed to first or second order, rarely entire and elliptic; primary lobes or teeth 2-13; ultimate lobes triangular to oblong, ovate, or occasionally linear and then usually wavy, 0.7-5 cm long, 0.8-8 mm wide, usually pungent; margins shortly recurved or sometimes revolute; lower surface subsericeous with straight hairs or densely pubescent-tomentose with twisted or curled hairs, mostly enclosed on very narrow lobes (c. 1 mm wide). Unit conflorescence erect or decurved, secund; floral rachis 20-50 mm long. Flower colour: perianth basally green to cream, usually grey to mauve above; style pink to red, occasionally orange or pale yellow, with a green tip. Perianth openly subsericeous outside, occasionally densely so or tomentose or glabrous. Pistil 19.5-25 mm long; ovary stipitate; style glabrous. Follicle 10.5-16.5 mm long, subsericeous or tomentose."
Eucalyptus smithii,"Tree to 45 m. Bark rough, fibrous, grey or brown on most of trunk, then smooth and white or cream above. Juvenile leaves opposite, sessile, lanceolate, amplexicaul, green, discolorous, stems sometimes glaucous. Adult leaves alternate, narrowly lanceolate, acuminate; lamina 10-18 cm long, 0.7-1.5 cm wide, green, concolorous; lateral veins faint or distinct, at 20°-40°; intramarginal vein up to 1 mm from margin; petiole slightly flattened or terete, 7-20 mm long. Umbels 7-flowered; peduncles angular or flattened, 5-12 mm long; pedicels 2-6 mm long. Buds ovoid, clavate or fusiform; operculum conical, 2-4 mm long, 3-4 mm wide; hypanthium obconical, 2-3 mm long, 3-4 mm wide. Fruits ovoid or subglobular, 6-7 mm long, 3-4 mm wide; disc broad, ascending; valves 3 or 4, exserted."
Garcinia gibbsiae,"Tree 7-15 m high, dioecous; exudate bright lime-yellow. Twigs terete or flattened, brown or green, shallowly ribbed. Leaves glabrous; petiole 8-20 mm long, 1.5-2.5 mm wide, channelled, ligulate; lamina discolorous, coriaceous or chartaceous, oblong-elliptic, ovate, oblanceolate, elliptic or elliptic-obovate, (6.5-) 11-20 cm long, 3-9.3 cm wide, base cuneate or obtuse, margin thickened and sometimes remotely recurved, apex acute or obtuse; venation paxillate, primary vein raised on both sides; secondary veins numerous, prominently or slightly raised above and below; submarginal veins on lamina underside 0-1 mm from margin. Inflorescences axillary or terminal, axes 4-5 mm long. Flowers 15-30 mm diam.; perianth thick; sepals 4, orbicular; petals 4, orbicular, 11-20 mm long; stamens in 4 stout phalanges (rarely 1), not adnate to petals. Fruit a semi-dry berry, depressed globose or depressed ovoid, apex rounded to acute, 30-45 (-62) mm long, 30-39 (-67) mm wide, green; persistent stigma or column, fruiting calyx lobes 4, 4-6.5 mm long."
Dryandra arborea,"Tree to 6 m, with stout trunk. Leaves: petiole 3-7 mm long, glabrous; lamina elliptic to lanceolate, 3-6 cm long, 14-22 mm wide, pungent, usually strongly curved, woolly in small pits below; margins flat or gently recurved, serrate; teeth triangular, 1-6 each side. Inflorescence terminal; involucral bracts ovate to narrowly lanceolate; outer bracts subulate; inner bracts acute, to 15 mm long, appressed-pubescent in upper half, densely ciliate; flowers 110-180 per head. Perianth 22-28 mm long, yellow, shortly villous; limb 3 mm long, villous. Pistil incurved, 28-32 mm long, yellow, pubescent in lowest 1/4, glabrous above; pollen presenter scarcely thickened, 1 mm long, ±smooth, pale green. Follicles obliquely ovate to obovate, 8-15 mm long, ±glabrous, ±firmly attached, opening when mature."
Aira provincialis,"Culms to 50 cm high. Leaves: basal leaf sheaths scabrous; ligule to 11 mm long; blade filiform, flat or convolute, 2-14 cm long, 0.3-0.5 mm wide, adaxially scabrous. Panicles open, (3-) 12-22 cm long; primary branches branching dichotomously; branches capillary, terete, smooth to sparsely antrorsely scaberulous. Spikelets 2.5-3.5 mm long; pedicel (2-) 5-21 mm long. Glumes similar, (2-) 2.5-3.5 mm long, acute, exceeding apex of florets, 1-veined. Fertile florets with lowest dissimilar; lowest fertile lemma muticous or with an awn shorter than glumes and the upper lemma awn which is shortly exserted. Lemma 2-2.5 mm long, 5-veined, acute, bifid; awn arising from c. 1/4 (-1/3) way up from base, (2.5-) 3-4.5 mm long. Palea elliptic-lanceolate, with intercostal regions minutely papillose. Caryopsis c. 1-1.5 mm long, shallowly grooved, often barely so."
Laxmannia ramosa subsp. ramosa,"Spreading rambling herb, to 30 cm tall and 70 cm wide. Leaves straight, 9-22 mm long. Peduncles erect, slender, 15-42 mm long."
Plantago exilis,"Perennial with a rather stout taproot. Leaves all basal, ± erect, narrow-elliptic, 8.5-23 cm long (including petiole which ± equals lamina), (0.4-) 1-2 cm wide, 3(-5) nerved, thin-textured, pilose with spreading hairs, entire or usually with a few teeth (the teeth from shallow and very obtuse to prominent, retrorse and acute), the apex acute or obtuse, the base tapering very gradually to the slender petiole, the axil with inconspicuous pale brown hairs. Scapes 9-30 cm long, 0.6-l.8 mm diam., with an indumentum of soft short hairs spreading throughout or appressed on the upper half. Spikes (2-) 5-10 cm long, the lower flowers usually widely spaced in' fruiting stage. Bracts narrow-elliptic or narrow-deltoid, 1.8-2.5 mm long, 0.7-1.5 mm wide, keeled, the thickened central zone c. 1/2 the total width, green or purplish, pilose or glabrous abaxially, the margins ciliate. Sepals broad elliptic, 2.6-4 mm long, 1.4-1.6 mm wide, keeled, the thickened and usually pilose central zone c. 1/4 of the total width, green or purplish, the margins ciliate. Corolla: tube 2.6-3.8 mm long; lobes ovate-deltoid 1.6-2.5 mm long. Stamens: filaments c. 4.5 mm long, anthers 1.4-1.6 mm long. Ovules 5. Capsule ovoid-conical, pale, mostly obtuse with a short mucro, 2.8-3.5 mm long, 1.3-2.0 mm broad, the upper deciduous portion 2.2-2.6 mm long. Seeds yellow-brown ellipsoidal, 1-1.5 mm long, 0.8-1.2 mm broad, biconvex or flattened adaxially, the apical ovule commonly developing but often only a single seed in each of the lower loculi."
Caladenia fuscata,"Leaf 50-80 x  2-2.5 mm. Flower stem 50-120 mm tall, thin, 1-flowered. Flowers 12-16 x  14-20 mm, white to pink or magenta, externally dark brownish pink with numerous sessile glands, often with broad, dark median bands; labellum white to pink with red bars; midlobe cream to yellowish; calli yellow; column greenish with red bars. Dorsal sepal 7-12 x  2 mm, erect. Lateral sepals 7-12 x  2 mm. Petals 6-1 x  2 mm. Labellum 5-6 x  5-5.5 mm; lateral lobes entire, shallowly incurved; midlobe triangular, recurved with 10-14 short, blunt, marginal teeth. Calli in 2 rows to base of midlobe. Column 6-7 x  2.5-3 mm."
Spergularia rubra,"Herb, annuals, biennials or short-lived perennials, with slender to woody taproot. Branches decumbent from base. Leaves prominently caudate, 4-25 mm long, 0.4-1.2 mm wide, glabrous or glandular-hairy. Stipules acute to acuminate, frequently furcate, (2.5-) 3.5-5 mm long, connate for much less than half their length, usually prominently silvery. Inflorescence many-flowered, leafy, with dense glandular hairs 0.15-0.25 (-0.4) mm long. Pedicels longer than sepals, much longer than capsules. Sepals ovate-lanceolate, 3-4 mm long (mostly 3.5-5 mm long in fruit); dark purple basal spots obscure or absent. Petals 2.4-3.8 mm long, uniformly pink or lilac. Stamens (5-) 10. Capsules ovoid, 4-5.5 mm long, equal to or slightly (rarely more than 0.5 mm) longer than sepals. Seeds broadly pyriform to semicircular in outline, 0.4-0.55 (-0.6) mm long, dark purple-, blackish- or grey-brown, rugulose-colliculate/tuberculate to papillate, wingless."
Caladenia filifera,"Plants single or in tufts. Leaf 60-150 x  2-4 mm. Flower stem 200-450 mm long, 1-4-flowered. Flowers 30-50 mm across, blood red all over; lateral sepals and petals with long, thin, entangling, filamentous tips. Dorsal sepal erect, 50-100 x  2-3 mm. Lateral sepals horizontal to obliquely decurved at base then dangling, 50-100 x  2.5-3.5 mm. Petals similarly arranged, 50-100 x  2-3 mm. Labellum 10-15 x  6-10 mm, wholly red with darker lines, sometimes with a pale base; margins with short, curved, bluntly pointed teeth; tip recurved. Calli anvil-shaped, red, 6-15 pairs in 2 rows. Column 7-9 x  3-4 mm, red."
Solanum eardleyae,"Straggly, erect shrub to 2 m, rusty-green, rarely grey-green, densely pubescent with stellate hairs; prickles to 10 mm long, abundant on stems, petioles, peduncles and calyx, generally scattered elsewhere. Leaves oblong-ovate; lamina mostly 5-10 cm long, 2-4 cm wide, sometimes larger, concolorous, undulate to shallowly lobed; petiole 1-2 cm long. Inflorescence few-22-flowered; peduncle 1-2 cm long; rachis 3-10 cm long; pedicels 5-10 mm long. Calyx 8-13 mm long, enlarged in fruit; lobes narrowly triangular with linear apices, 5-10 mm long. Corolla rotate, 25-35 mm diam., purple. Anthers 4-5 mm long. Berry globular, 10-15 mm diam., yellow, finally hard and bony. Seeds 1.5-2 mm long, light buff to light grey-brown."
Stenanthemum sublineare,"Erect shrub to 10 cm high, with very sparse minute simple or bi-fid hairs on young stems; lignotuber c. 5 cm below ground. Leaves: lamina narrowly ovate-oblong to linear, 3-6 mm long, 0.3-1 mm wide, base cuneate, strongly recurved margins, only midrib visible, apex obtuse to acute with mucronate tip, green and glabrous above, long simple-pubescent below; petiole 0.5-1.8 mm long; stipules triangular, 0.9-1.3 mm long, connate. Inflorescences up to 4 mm wide with 1-3 flowers. Flowers: base with a dense indumentum of simple and stellate hairs. Hypanthium tube 0.3-0.5 mm long, c. 1.4 mm diam. Sepals 0.9-1.2 mm long, glabrous, except a few hairs on tip. Petals 0.7-0.9 mm long, clawed. Stamens 0.5-0.6 mm long. Disc lining the base of the floral tube, ovary and extending into a ring around the style. Ovary mostly covered by disc, glabrous; style 0.3-0.8 mm long, distinctly thickened in lower half. Fruit c. 2.5-3 mm long. Mature seed not seen."
Adenostemma macrophyllum,"Annual or short-lived perennial, fleshy herb or subshrub 40-100 cm high, viscid; young stems sparsely hairy. Leaves with petiole (10-) 30-50 mm long; lamina broadly ovate, (90-) 100-140 (-180) mm long, (40-) 70-85 (-125) mm wide, truncate to subcordate at base then sharply attenuate into upper petiole, bluntly and coarsely crenate, acute; upper surface ±shiny, lacking €˜cysts€™, with sparse hairs on major veins, otherwise glabrous, or sometimes with minute (0.1 mm) sparse conical hairs on lamina. Panicles on slender peduncles. Capitula ±globose, 6-8 mm diam.; involucral bracts in 2 series, oblong (rarely lanceolate), 4-5 mm long, shortly fused at base, sparsely hairy abaxially, especially at base. Florets white to pale lilac. Achenes curved-deltoid, 3-angled, 3.0-3.5 mm long, smooth, glabrous or with minute glandular hairs, black at maturity."
Coleonema,"Small erect shrubs; branchlets glabrous to puberulous with simple hairs. Leaves alternate, petiolate, simple, glandular-punctate in 2 rows abaxially; margins narrowly translucent. Flowers 5-merous, solitary, terminal or axillary, subtended by 2 bracteoles and 6-8 bracts (reduced leaves). Calyx lobed. Petals free, spreading, white or pink; claw usually adnate with staminode. Stamens 5; anthers with a minute apical gland; staminodes 5, gland-tipped. Disc  cupular or lobed. Ovary 5-carpellate, glabrous; carpel apices globose with an immersed gland; style short, glabrous; stigma capitate, depressed-globose. Fruit 5-carpellate, glabrous, with short horns (rarely horns absent), spreading or erect. Seeds black, shining."
Anigozanthos flavidus,"Leaves 35-100 cm long, 5-20 mm wide. Scape 1-3 m tall, glabrous almost to the panicle, otherwise similar to A. rufus. Floral hairs dull yellowish green, sometimes partly or entirely brownish red. Perianth straight or ±falcate, 30-45 mm long; lobes 7.5-12 mm long. Anthers 2-4 mm long; outer filaments 3-6 mm long; central filaments 2-5 mm long. Style 30-40 mm long. Seeds 1.5-2 mm long."
Eucalyptus melanophloia subsp. nana,"Mallee to 6 m tall. Forming a lignotuberIronbark to the small branches ca 2 cm diameter, dark grey to black; branchlets usually glaucous. Ironbark less well developed than in the tree form though still furrowed longitudinally and dark grey.Juvenile growth (coppice or field seedlings to 50 cm): stem rounded or square in cross section, usually glaucous; smooth, juvenile leaves opposite, sessile or petioles only 0.1 cm long, orbicular to ovate or cordate, glaucous. Crown of juvenile leaves. Crown leaves opposite, sessile, orbicular to ovate to cordate, 3.5-7 cm long, 2.5-5.3 cm wide, flat, base lobed or stem-clasping, margin entire, apex pointed or rounded or weakly emarginate, concolorous, dull, glaucous weathering to grey-green, side-veins greater than 45° to midrib, very densely reticulate, intramarginal vein remote from margin, oil glands obscure.Inflorescence terminal compound, peduncles 0.4-1.4 cm long, buds 7 per umbel, pedicels 0-0.3 cm long. Mature buds ovoid, 0.6-0.7 cm long, 0.3-0.4 cm wide, glaucous, scar present, operculum conical, stamens irregularly flexed, anthers adnate, cuboid, dehiscing by broad lateral pores or short slits, style long, stigma pin-head shaped, locules 4, the placentae each with 4 vertical ovule rows. Flowers white.Fruit on pedicels to 0.3 cm long, rarely sessile, cup-shaped, truncate-globose or hemispherical, 0.4-0.7 cm long, 0.4-0.7 cm wide, glaucous or weathering to non-glaucous, disc descending vertically, valves 4, near rim level or enclosed.Seeds brownish grey, 1-1.5 mm long, flattened-ovoid, dorsal surface shallowly reticulate, hilum ventral. Cultivated seedlings (measured at ca node 10): cotyledons reniform; (not grown)."
Tithonia rotundifolia,"Annual herb 2-3 m high; stem reddish purple, striate, pubescent, glabrescent. Leaves with petiole 2-5 cm long; lamina ovate to triangular in outline, (3-) 5-11 (27) cm long, (1.5-) 2-13 (-20) cm wide, entire or sometimes 3-5-lobed, shortly toothed, acuminate, coarsely scabrous above; base decurrent to petiole. Capitula 3-4 (-9) cm diam. (including rays), on peduncles 10-20 (-30) cm long; paleae c. 1.5 cm long; involucral bracts ± equal, linear to lanceolate, 2- or 3-seriate, obscurely striate, softly pilose abaxially; inner bracts long-tapering to apex. Ray floret ligules 12-30 mm long, orange. Disc florets numerous, c. 10 mm long; outer surface pilose, orange to yellow. Achenes 6-8 mm long, black or mottled, appressed-pilose. Pappus of hard, white, fused, erose scales and 2 ± equal awns 3-5 mm long."
Acacia genistifolia,"Open often straggly shrub usually 0.6-3 m high, glabrous. Branchlet apices ribbed; ribs normally yellow. Stipules sometimes caducous, c. 1 mm long. Phyllodes subdistant, sessile, usually patent to inclined, rather coarse, straight to shallowly recurved, quadrangular to (especially in Tas.) flat, usually 1-4 cm long and 1-3 mm wide, pungent with slender cusp, rigid, green, 4-veined in all, prominently 1-veined per face when flat, occasionally imperfectly 2- or 3-veined; gland 2-4 mm above base. Inflorescences simple, usually 2-4 per axil; peduncles 1-2 (-3) cm long, rather slender; basal bract caducous; heads globular, 12-25-flowered, cream to rich lemon yellow. Flowers 4-merous; sepals c. …”-united. Pods linear, raised over seeds, arcuate to ± straight, 4-11 cm long, 4-7 mm wide, thinly coriaceous. Seeds longitudinal, 3.5-5.5 mm long; aril terminal."
Enneapogon nigricans,"Perennials. Flowering culms pubescent, few-noded, simple or sparsely branched, (5-) 30-70 (-110) cm high. Leaves densely pubescent or hirsute with simple and/or glandular hairs; blade persistent, flat or involute, acuminate, acute or obtuse (tip folded). Panicles lanceolate, oblong or ovate, capitate or spiciform, usually longer than wide, sometimes similar in length and width, 0.8-9.5 cm long, 0.8-2.8 cm wide (including awns). Spikelets with 3-5 florets (1 bisexual). Glumes ±equal or unequal, 3.5-8 mm long, obtuse or acuminate to acute, 5-9-nerved, glabrous or pubescent to pilose (hairs glandular). Basal floret: lemma body 1.8-3.6 mm long, as long as wide, membranous to cartilaginous, slightly ridged at base of lobes, with margins ciliate, prominently or obscurely 9-11-nerved, with hairs appressed to erect and arising in the lower 1/2-3/4 or scattered the length of the lemma, not exceeding the lobe bases; lemma lobes 9-11, distinctly longer than body, 3-7.8 mm long; palea slightly exceeding lemma body, membranous, with keels ciliate in the upper 1/2-3/4, with body and flaps pubescent to pilose. Anthers 0.6-0.9 mm long."
Eucalyptus deserticola,"Tree or mallee to 6 m. Bark tessellated throughout, pale brown. Juvenile leaves not seen. Adult leaves opposite, ovate, acute or apiculate, cordate; lamina 2-6 cm long, 1.2-2.7 cm wide, green, discolorous; lateral veins faint, at 60°-70°; intramarginal vein confluent with margin; petiole absent or up to 3 mm long. Umbels 7-flowered; peduncle terete, 5-17 mm long; pedicels 2-4 mm long. Mature buds not seen. Fruits ovoid, 12-17 mm long, 12-14 mm wide; disc broad; valves 4. Seeds not seen."
Helicia grayi,"Tree 10 m tall; most parts glabrous. Leaves: petiole 5-7 mm long; lamina narrowly elliptic to oblanceolate, 7.5-13.5 cm long, 2-4 cm wide, glabrous; tips acuminate; margin entire or irregularly dentate (especially in juvenile leaves); venation dense, prominent on both surfaces; lateral veins 7 or 8 pairs. Conflorescence axillary or ramiflorous, 6.5-12 cm long, densely flowered, ferruginous-pilose; pedicels c. 5 mm long. Tepals c. 18 mm long, cream, glabrous; limb 4.5-6 mm long, c. 1.5 mm wide. Anthers 4-5.5 mm long. Hypogynous glands obtuse, 4-lobed, fused at base. Ovary rufous-tomentose. Fruit (immature) ovoid, c. 14 mm long, c. 10 mm diam., becoming blue to purple."
Eucalyptus camaldulensis subsp. arida,"Tree to 30 m tall but often much smaller. Lignotuber present or absent. Bark smooth throughout, often powdery, white or silvery grey mottled with pink, green or brown patches; branchlets glaucous or non-glaucous. Juvenile growth (coppice or field seedlings to 50 cm): stems square in cross-section, glaucous; juvenile leaves always petiolate, opposite for 1 or 2 nodes then becoming alternate, ovate or broadly lanceolate, 4.5-21 cm long, (1.8)2.5-7.5 cm wide, blue-green or blue-grey or glaucous. Adult leaves alternate, petiole 0.7-3 cm long; blade lanceolate or broadly so or falcate, 8-23 cm long, 1-4.2 cm wide, base tapering to petiole, concolorous, dull, bluish or blue-green, rarely green, or slightly glaucous, side-veins about 45° or more to midrib, venation usually sparsely to moderately reticulate, intramarginal vein parallel to and well removed from margin, oil glands numerous, island, rarely obscure. Inflorescence axillary unbranched, peduncles 0.6-1.6 cm long, buds 7, 9, 11 or 13 per umbel, pedicellate (pedicels 0.2-0.6(1.1) cm long). Mature buds ovoid to globular (0.4-0.9 cm long, 0.3-0.6 cm wide), green to yellow or glaucous, smooth, scar present (outer operculum shed early), inner operculum obtuse or rounded (operculum 0.3-0.7 cm long) often mucronate, stamens erect with anthers facing ovary roof and style, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, locules (3)4(5) each with 6 vertical ovule rows on the placenta. Flowers white. Fruit pedicellate (pedicels 0.2-0.6(1.1) cm long), hemispherical, 0.2-0.7 cm long, 0.3-0.8 cm wide, disc raised and convex or oblique or almost vertical, valves (3)4(5), strongly exserted. Seeds yellow to yellow-brown, smooth, glossy, 0.8-1.5 mm long, cuboid or pyramidal, hilum terminal. Cultivated seedlings (measured at node 10): cotyledons oblong to reniform; stems square in cross-section, at least slightly glaucous; leaves always petiolate, opposite for 4 to 7 nodes then alternate, ovate to broadly lanceolate, 7-15 cm long, 2-6 cm wide, dull, grey-green or glaucous."
Durabaculum phalaenopsis,"Pseudobulbs cylindrical, 200-1200 x 10-15mm, green or purplish, leafy in upper third. Leaves 3-5 per pseudobulb, 100-150 x 30-35mm, often with purplish margins. Racemes 200-400mm long, 2-20-flowered. Flowers 25-30 x 50-80mm, usually lilac-purple, rarely white, bluish or pinkish, with darker purple labellum which lacks white blotch. Dorsal sepal 25-30 x 9-11mm. Lateral sepals 20-25 x 9-11mm. Petals 25-30 x 25-30mm. Labellum c.24 x 20mm, dark purple; lateral lobes erect, veined; midlobe decurved, with hairy patch and 4 or 5 ridges."
Senecio niveoplanus,"Erect herbs to c. 1.2 m high, not leafier in lower 1/3 at anthesis. Taproot not seen; secondary roots fleshy. Stems hispid, with density reducing upwards, becoming glabrous or sparsely cottony near summit. Leaves 7-12 cm long, with l:w ratio c. 3-5, coarsely dentate to lobate, with 3 or 4 triangular lobes per side; base with moderate auricles above mid-stem; margin denticulate or dentate; upper surface hispid; lower surface as for upper but usually also cobwebby, purple. Capitula numerous per stem; calycular bracteoles 3-4, 2-3 mm long; peduncle and calyculus sparsely cobwebby at anthesis; involucre 6-8 mm long, 1.5 mm diam.; bracts 8-13, glabrous. Florets 15-25. Achenes very narrowly obloid-ellipsoid, 3-4 mm long, olive-brown, glabrous. Pappus 6-7 mm long."
Acacia pulchella var. goadbyi,"Branchlets prominently ribbed, normally red but extremities often yellowish or brown and mottled green between the ribs, usually glabrous. Axillary spines few or absent, 1 (or 2) per node. Pinnae usually 5-12 mm long; pinnules conduplicate and imbricate when dry, 4-9 pairs, narrowly oblong, 2-5 mm long, usually green. Peduncles glabrous. Pods 3 mm wide."
