"taxon_name","original_text","text","life_history_a","life_history_f","plant_growth_form_a","plant_growth_form_f","plant_growth_substrate_a","plant_growth_substrate_f","sex_type_a","sex_type_f","stem_growth_habit_a","stem_growth_habit_f"
"Pomaderris phylicifolia subsp. phylicifolia","Slender shrubs, 1–2.5 m high; branchlets greyish, pubescent or villous with simple and stellate hairs. Leaves narrow-ovate, narrow-elliptic or narrow-obovate, 6–15 mm long, 1–6 mm wide, obtuse, margins entire or sometimes sinuate, recurved or revolute, upper surface sparsely to moderately hispid with simple hairs, secondary veins slightly impressed; lower surface with dense stellate hairs overlain by sparse, longer, simple hairs (denser over veins); stipules 1–6 mm long, persistent. Flowers in small axillary clusters, crowded toward branch-tips; bracts deciduous. Flowers cream to yellow; externally greyish, densely pubescent, with simple hairs overlaying stellate hairs; pedicels 0.5–2.5 mm long; hypanthium 0.5–1 mm long; sepals 1.2–2 mm long, deciduous; petals absent; disc absent; ovary half-inferior, summit simple-pubescent, style branched in middle or upper third. Operculum membranous, subequal to mericarp. Flowers Nov."," slender shrubs, 1–2.5 m high; ",,,"shrub","shrubs",,,,,,
"Cortaderia selloana subsp. jubata","Plants female only, but apomictic and producing viable seed. Culms to 4.5 m high, normally at least twice as high as the basal tusosck; leaves bright green; sheath often densely sericeous; blade usually not turned so that the scabrous abaxial surface remains lowermost, flat, keeled beneath, coarsely scabrous on margins and nerves on lower (abaxial) surface. Inflorescence purplish (but bleaching as it ages). Spikelets with veins of glume, rachilla segments and usually lemmas purple, 3–5-flowered. Flowers Jan.–Mar.","  ",,,,,,,,,,
"Mesembryanthemum cordifolium","Leaves fleshy, broadly ovate to rhombic, c. 1–2 cm long; petiole to 0.5–1 cm long. Pedicels to c. 1 cm long, elongating in fruit; larger sepals at anthesis ovate, c. 1 cm long, 0.5 cm wide; smaller sepals linear or narrowly triangular, to c. 7 mm long, 3 mm wide; sepals enlarging in fruit. Flowers 5–8 mm across. Capsule obconic, c. 10 mm long, 7 mm wide. Seeds very hard, ± circular, with a flattened dorsal ridge, prominently tuberculate, 1–1.5 mm diam. Flowers Oct.–Mar.","  ",,,,,,,,,,
"Dodonaea heteromorpha","Dioecious, erect shrub to 3 m high; branchlets angular, ribbed to flattened, glabrous. Leaves opposite or alternate, usually simple and sessile, sometimes irregularly pinnate (then shortly petiolate) with 1–10 leaflets; simple leaves linear to linear-lanceolate, 3.5–8.3 cm long, 2–5 mm wide (leaflets, if present, 0.6–3 cm long, 2–3 mm wide), acute, margins flat to revolute, glabrous, not viscid. Flowers in axillary cymes; pedicels 3.5–10(–12.5) mm long; sepals 4, ovate, 1.5–2.3 mm long, viscid, caducous; stamens 8, c. equal in length with sepals; ovary glabrous. Capsule 4-winged, transversely oblong in outline, 5–6.5 mm long, 15–25 mm wide, glabrous, wings 6.5–10 mm wide, membranous, rarely coriaceous; seeds lenticular, 1.7–2.4 mm long, black, dull, exarillate. Flowers spring and summer."," dioecious, erect shrub to 3 m high; ",,,"shrub","shrub",,,"dioecious","dioecious","erect","erect"
"Stackhousia viminea","Glabrous, non-rhizomatous perennial to 70 cm high; stems erect or ascending, rarely branched above. Leaves narrowly obovate to obovate or narrowly elliptic, 1–3.5(–5) cm long, 1–7.5 mm wide, those at base sometimes reduced to scales. Inflorescence cylindric, spike-like; flowers 1–5 at nodes, shortly pedicellate, subtended by a cluster of several ovate bracts to c. 1 mm long. Hypanthium 0.4–0.7 mm long; sepals 0.5–0.8 mm long, entire to undulate; corolla pale green to deep yellow, rarely tinged red-brown outside, tube 2.2–3.5 mm long, lobes 1.5–3 mm long, obtuse to acuminate; gynoecium 3-partite. Mericarps 1–3, broadly ovoid to broadly ellipsoid, 1.5–3 mm long, rugose to coarsely rugose-reticulate, sometimes tuberculate; basal cavity very shallow. Flowers Aug.–Dec."," glabrous,  perennial to 70 cm high; ","perennial","perennial",,,,,,,,
"Discaria","Rigid shrubs. Leaves opposite, petiolate or sessile, often caducous; stipules fused at base and opposite pairs united into a short collar; simple axillary spines often present. Flowers bisexual, solitary or clustered in axils of leaves of short axillary shoots; sepals (4–)5, falling before fruit ripens; petals 5, hooded, or sometimes absent; disc prominent, largely covering the ovary summit; ovary inferior, carpels 3, style entire or slightly branched. Fruit a capsule (in Australia) or a drupe, splitting into 3 medially dehiscent segments; seeds not arillate."," rigid shrubs. ",,,"shrub","shrubs",,,,,,
"Caladenia","Terrestrial herbs, usually hairy, arising from rounded underground tubers. Leaf solitary, basal, elongate, generally linear-lanceolate or oblong, hairy, emerging from fibrous sheath close to ground. Flowering stem covered in non-glandular and glandular hairs. Flowers with column uppermost, solitary or in loose raceme of up to 10, variously coloured, on erect flowering stem with a sheathing bract at or near the middle and a closely sheathing bract under each pedicel; dorsal sepal either erect, incurved over column, or more rarely hooded, usually narrow; lateral sepals and petals usually nearly equal to dorsal sepal but flat, spreading or reflexed, rarely curving upwards. Labellum on a movable claw, generally erect at base, undivided or 3-lobed, margins often fringed or toothed; lateral lobes, when present, usually erect and clasping sides of column; mid-lobe or distal part of undivided labellum recurved; lamina with sessile or stalked calli arranged in 2 or more longitudinal rows or irregularly scattered or crowded. Column erect or incurved, more or less winged in upper part, with or without 2 sessile yellow glands at base."," terrestrial herbs, usually hairy, arising from rounded underground tubers. ",,,"herb","herbs","terrestrial","terrestrial",,,,
"Adonis microcarpa","Erect glabrous annual to c. 50 cm high; leaves petiolate below, subsessile above, broadly obovate in outline, to 6 cm long, 4 cm wide, bi- or tripinnate with ultimate segments linear, to c. 4 mm long, 1 mm wide. Flowers solitary, terminal at the ends of branches, on an elongated peduncle c. 1–5 cm long; sepals purplish, 5–12 mm long, spreading to reflexed; petals (5–)6–8(–10), suberect to widely spreading, red or yellow with a black basal blotch, obovate, 7–12 mm long; stamens numerous, c. 5 mm long, anthers dark purple, c. 1 mm long; carpels 10–50. Achenes plump, obovoid to c. triangular in outline, c. 3 mm long, with lateral reticulate ridges, and an ascending terminal beak c. 1 mm long; receptacle elongating as achenes mature, finally to c. 2 cm long. Flowers Sep.–Oct."," erect glabrous annual to circa 50 cm high; ","annual","annual",,,,,,,"erect","erect"
"Lasiospermum","Erect or ascending annual or perennial herbs. Leaves mostly cauline, alternate, 1- or 2-pinnatisect, rarely entire. Capitula pedunculate, radiate or discoid, solitary or paniculate, terminal; involucral bracts 2- or 3-seriate, outermost bracts shorter, otherwise ± equal, herbaceous with membranous margins and apex; receptacle flat to conical with membranous scales. Ray florets female, 1-seriate, ligulate; disc florets bisexual, campanulate; corolla 5-lobed; anthers with lanceolate apical appendage, without tails or spurs at base; style with linear, truncate branches. Cypselas obloid-ovoid, ribbed, hairy. Pappus absent."," erect or ascending annual or perennial herbs. ","annual perennial","annual perennial","herb","herbs",,,,,"erect decumbent","erect ascending"
"Hypericum hircinum","Shrub, 0.5–1.5 m high; young stems indistinctly 4-ridged, older stems more or less terete. Leaves ovate to elliptic,12–25 mm long, 5–14 mm wide, bases cuneate, sometimes tapered to a short petiole-like base, lower surface slightly paler than upper, tertiary nerves finely reticulate, indistinct. Flowers, solitary, terminal or on short branches from upper leaf axils; sepals equal, or one slightly longer, obovate to spathulate, 3–7 mm long, deciduous, not black-dotted; petals narrowly obovate, 12–18 mm long, golden-yellow, not black-dotted; stamens numerous, united at base into 5 bundles, slightly shorter than petals; styles 3, 2–5 times longer than ovary. Fruit ellipsoid to subcylindrical, 8–13 mm long, initially somewhat fleshy, ultimately dry, dehiscent (fruit not seen in Victoria). Flowers Dec. (1 record)."," shrub, 0.5–1.5 m high; ",,,"shrub","shrub",,,,,,
"Corymbia gummifera","Tree to 35 m tall, rarely a mallee; bark rough on trunk and branches, tessellated. Juvenile leaves petiolate, opposite for few pairs, then alternate, elliptic to broadly lanceolate, some peltate, to 23 cm long, 7.5 cm wide, early leaves hairy; adult leaves petiolate, alternate, broadly lanceolate to lanceolate, 10–16 cm long, 2–5 cm wide, discolorous, dark green above; with regular, wide-angled, pinnate side veins; reticulation very dense, with small island oil glands. Inflorescences compound, terminal; peduncles to 3 cm long, 7-flowered; buds pedicellate, clavate, to 1.1 cm long, 0.7 cm diam., scar absent; operculum usually pointed; stamens inflexed; anthers versatile, cuneate; ovules in 4 vertical rows; flowers white or creamy-white. Fruit pedicellate, urceolate, to 2 cm long, 1.8 cm diam.; disc vertically descending, lining tube; valves deeply enclosed; seed red-brown, boat-shaped, lacking a terminal wing, flanged along the edges. Flowers Jan.–May."," tree to 35 m tall, rarely a mallee; ",,,"mallee tree","mallee tree",,,,,,
"Correa","Shrubs to small trees, with stellate hairs. Leaves opposite, simple, margins entire or crenate. Inflorescence terminal or axillary, cymose. Flowers bisexual, 4-merous; sepals fused into an unlobed or 4-(8-)lobed cup; petals valvate, fused for most of their length or sometimes separating (C. alba, C. aemula), persistent or deciduous; stamens 8, free, erect; disc 8-lobed; carpels 4, 1-locular, lacking sterile apex, style arising from c. middle of the carpels, ovules 2 per loculus. Follicles not transversely ridged; seeds dull brown, released explosively with elastic endocarp."," shrubs to small trees, with stellate hairs. ",,,"shrub tree","shrubs trees",,,,,,
"Echinochloa esculenta","Tufted annual. Culms erect, to 120 cm high. Leaves glabrous; blade flat, 8–30 cm long and 8–30 mm wide, margins often undulate. Panicle 7–16 cm long, fully exserted at maturity; primary branches spreading, 3–7 cm long, scabrous, with 1–several bristles subtending each group of spikelets. Spikelets plump, gaping at maturity, 3.2–4.5 mm long, very densely aggregated and ranked in 4–6 rows; lower glume 3–5-nerved, ovate, 1–1.6 mm long, glabrous or hairy, mucronate; upper glume 5-nerved, slightly shorter than spikelet, acuminate, dorsally rounded, scabrous along the nerves; lower floret neuter; lower lemma as long as spikelet, flat, acuminate; palea c. three-quarters as long as lemma, membranous; upper lemma 2.9–3.5 mm long, dorsally rounded, smooth, pale to mid-brown at maturity, abruptly narrowed to short apical point; upper palea subequal to lemma. Flowers throughout year but mainly Nov.–Mar."," tufted annual. ","annual","annual",,,,,,,,
"Lycopus","Perennial rhizomatous herbs; branches quadrangular and grooved; hairs simple. Leaves sessile to shortly petiolate, decussate, simple, coarsely toothed to lobed. Inflorescence of sessile few-many-flowered cymes forming dense clusters in axes of upper leaves. Calyx 5-lobed, lobes equal, acute; corolla slightly zygomorphic, not 2-lipped, lower lobe broad and entire, lateral lobes narrower, and upper lobe broad and slightly 2-lobed; upper pair of stamens sterile, anthers with both locules fertile, locules slightly divergent. Mericarps 3-angled to 3-keeled."," perennial rhizomatous herbs; ","perennial","perennial","herb","herbs",,,,,"rhizomatous","rhizomatous"
"Dipodium punctatum","Leafless plant, 35–80 cm tall. Stem dark reddish-black, inflorescence much shorter than subtending flowering stem. Pedicels (including ovary) 15–20 mm long; flowers c. 15–30, pale pink to bright pink with heavy red blotches, perianth segments widely spreading, tips straight or very slightly recurved toward tips. Sepals and petals linear to linear-elliptic or linear-oblanceolate, 12–17 mm long, 3–5 mm wide, petals and lateral sepals slightly asymmetric. Labellum c. 12–14 mm long, similar to that of D. roseum, but tuft of hairs near apex not as broad (not occupying most of dorsal surface in proximal half of mid-lobe). Flowers Dec.–Feb."," leafless plant, 35–80 cm tall. ",,,,,,,,,,
"Chaenostoma","Subshrubs or perennial or rarely annual herbs, mostly glandular, occasionally aromatic or foetid. Leaves usually opposite, sometimes alternate upwards, entire or toothed, rarely more deeply lobed, sessile, sometimes decurrent in wings or ridges along stem. Inflorescence a racemose, a cymose raceme or paniculate, bracteate; bracts adnate to base of pedicel. Calyx bilabiate, upper lip 2-lobed, lower lip 3-lobed, or rarely regularly divided into 6–9 lobes; corolla 5-lobed, tube cylindrical or funnel-shaped; stamens 4, rarely 5, in pairs of unequal length, filaments usually inserted in upper part of corolla tube; stigma with 2 marginal bands of papillae. Capsule septicidal, glabrous; seeds elliptic."," subshrubs or perennial or rarely annual herbs, mostly glandular, occasionally aromatic or foetid. ","annual perennial","annual perennial","herb subshrub","herbs subshrubs",,,,,,
"Persoonia subvelutina","Spreading shrub or small tree to 5 m high; young branches moderately to densely hairy. Leaves alternate to subopposite, narrowly elliptic to elliptic, oblanceolate to obovate or narrowly spathulate to spathulate, 3–8 cm long, 6–18 mm wide, discolorous, flat, moderately to densely hairy when young, sparsely to moderately hairy when mature, minutely scabrous; margins recurved to revolute, sometimes slightly incurved. Flowers solitary in axils of leaves; pedicels 1–4 mm long, erect, moderately to densely hairy. Tepals 11–15 mm long, apiculate to caudate, moderately to densely hairy, terminal spine to c. 1 mm long; anthers white; ovary glabrous. Drupe ovoid, to c. 14 mm long, c. 12 mm wide, green. Flowers summer."," spreading shrub or small tree to 5 m high; ",,,"shrub tree","shrub tree",,,,,"spreading","spreading"
"Austrostipa drummondii","Tufted annual or perennial, culms erect to 80 cm high, nodes pubescent, usually hidden by the sheaths. Leaves densely short-pubescent; blade rather stiff, flat to slightly, rarely closely inrolled, to 20 cm long (often less than 10 cm), 2–7 mm broad; sheath loosely enveloping the culm, the uppermost usually with broad, pale, glabrous margins; ligule ciliate 0.5–2 mm long. Inflorescence a contracted to spreading, rather dense panicle to 40 cm long, the base of the panicle often partly concealed by uppermost leaf-sheath. Glumes 8–12 mm long, often purplish, acuminate or acute, sometimes toothed just below apex, the lower up to 2 mm longer than upper; lemma sometimes with a slight constriction just below apex, 4–6 mm long, brown to almost black at maturity, finely granular, with semi-appressed white hairs, often sparse toward apex; callus 1.3–2.5 mm long; awn falcate, 50–90 mm long, the straight part 10–19 mm long, column densely pubescent with hairs 0.3–1 mm long; palea slightly shorter than lemma, with a sparse line of hairs down the centre. Flowers Aug.–Nov."," tufted annual or perennial, culms erect to 80 cm high, nodes pubescent, usually hidden by the sheaths. ","annual perennial","annual perennial",,,,,,,"erect","erect"
"Lachnagrostis meionectes","Tufted glabrous annual, culms erect, to c. 10(–25) cm high. Leaf-blades mostly closely folded, to 6 cm long and 1 mm wide; ligules truncate, 1.5–3.5 mm long. Inflorescence a slender, rather stiff-branched, pyramidal panicle, mostly 2–6 cm long. Spikelets 2–3.5 mm long, often purplish; glumes equal, or the lower slightly longer, keeled, smooth or scabrous along the keel; lemma truncate, 0.5–1 mm shorter than the spikelet, hairy to within c. 0.5 mm of tip, awned from a just below to c. 1 mm below the tip (occasional florets unawned); awn fine and straight, not or barely exceeding spikelet; palea slightly shorter than lemma; anthers c. 1 mm long. Flowers Dec.-Mar."," tufted glabrous annual, culms erect, to circa 10(–25) cm high. ","annual","annual",,,,,,,"erect","erect"
"Pomaderris intermedia","Shrub to c. 3 m high; branchlets with stellate and sparse to mid-dense simple hairs. Leaves narrow-ovate to broad-elliptic, 30–100 mm long, 10–50 mm wide, acute or obtuse, margin plane, upper surface glabrous, lower surface greyish stellate-pubescent, with very sparse to mid-dense, spreading, often rusty simple hairs on nerves and internerves, secondary (and often tertiary) nerves apparent; stipules 3–8 mm long, deciduous. Panicles c. hemispherical to pyramidal, 4–15 cm long; bracts deciduous. Flowers bright yellow, externally greyish with sparse to mid-dense simple hairs; pedicels 2–5 mm long; hypanthium 1–1.5 mm long; sepals 2–3 mm long, deciduous; petals broad-spathulate, usually auriculate at base, 2–2.5 mm long; disc absent; ovary virtually inferior, summit with simple hairs, style branched above midway. Operculum membranous, c. half mericarp length. Flowers Sep.–Oct."," shrub to circa 3 m high; ",,,"shrub","shrub",,,,,,
"Yucca gloriosa var. recurvifolia","Shrubby plant, forming colonies of rosettes; stems woody, simple or branched, to 2 m high. Leaves 50–100 cm long, 3.5–5.0 cm wide, usually recurving, flexible, green or glaucous, margins entire or finely denticulate, often shedding elongate fibres, yellow or brown. Inflorescence paniculate, narrowly ellipsoid, to 1.5 m long, barely extending beyond rosettes. Flowers white or slightly greenish, pendent; perianth 4–5 cm long, 2.0–2.5 cm wide. Berry oblong, 2.5–4.5 cm long, erect, 6-ribbed; seeds black, 5–10 mm long."," shrubby plant, forming colonies of rosettes; ",,,,,,,,,"rosette","rosettes"
"Opercularia turpis","Spreading to erect herb or subshrub to 50 cm high, dioecious, much-branched near base; branches rigid, striate, densely hairy to glabrous. Leaves sessile, linear to linear-lanceolate, mostly 5–15 mm long and 1–3 mm wide, acute and often uncinate, surfaces scabrous to hairy, margins strongly recurved. Inflorescences axillary 3–5-flowered hemispherical heads, single or paired; peduncles 0–1 mm long, deflexed, shorter than subtending leaves. Flowers unisexual; calyx-lobes linear-triangular, 0.5–1 mm long, glabrous or hairy; corolla 0.5–1.5 mm long. Capsules dehiscing by an oblique abscission leaving a star-shaped cavity when seeds shed; seeds compressed-ovoid, 1.5–3 mm long, outer surface transversely rugose, inner surface with 2 smooth longitudinal ridges, rugose. Flowers Aug.–Nov."," spreading to erect herb or subshrub to 50 cm high, dioecious, much-branched near base; ",,,"herb subshrub","herb subshrub",,,"dioecious","dioecious","erect spreading","erect spreading"
"Arctotheca","Annual or perennial herbs, white-tomentose, sometimes also with glandular hairs. Leaves in a basal rosette and/or cauline and alternate, entire to pinnatisect. Capitula radiate, axillary, solitary, pedunculate; involucral bracts in 3–5 series, imbricate, unequal, herbaceous with scarious margins; receptacle flat, naked, pitted. Ray florets sterile, 1-seriate, ligulate; disc florets bisexual, fertile, tubular; corolla campanulate, deeply 5-lobed; anthers sagittate at base, with an ovate apical appendage; style with very short obtuse branches, glabrous. Cypselas obovoid, ribbed mainly on dorsal surface, densely tomentose or glabrous; pappus 1-seriate, of minute scarious scales, or absent."," annual or perennial herbs, white-tomentose, sometimes also with glandular hairs. ","annual perennial","annual perennial","herb","herbs",,,,,,
"Xanthosia huegelii","Weak procumbent to ascending herb or subshrub to c. 15 cm high; rootstock short, woody; branches villous, becoming flaky with age. Leaves alternate, lamina 6–15(–35) mm long, 15–30(–60) mm wide, villous, sometimes glabrescent, ternately dissected, segments linear-oblong to elliptic, entire; petiole 6–30 mm long. Inflorescence simple or compound, leaf-opposed, sessile or shortly pedunculate; peduncle to 3 mm long; bracts linear-lanceolate, 4–7 mm long, hairy, umbels 3–6-flowered. Sepals c. 2 mm long; petals to 1.5 mm long, white; nectary pubescent, rarely glabrous. Fruit 2.5–4 mm long; mericarps prominently 5–9-ribbed. Flowers spring and summer."," weak procumbent to ascending herb or subshrub to circa 15 cm high; ",,,"herb subshrub","herb subshrub",,,,,"decumbent prostrate","ascending procumbent"
"Pauridia glabella var. glabella","Glabrous herbs to c. 25 cm high; corms less than 1 cm long, with a fibrous tunic. Roots fleshy. Leaves linear, angular to subulate, 2–25 cm long, c. 0.5–1 mm wide. Inflorescences 1–4, 2.5–20 cm long, bracteoles 2, narrow-linear, 2–18 mm long. Flowers 1 or 2 per inflorescence, 5–7 mm wide; perianth lobes spreading; stamens shorter than the perianth, alternating long and short; ovary 1–3 locular, 2.5–-7 mm long. Capsule ellipsoid, 3–7 mm long; seeds numerous, 0.5–1 mm diam.  Flowers Jul.–Sep."," glabrous herbs to circa 25 cm high; ",,,"herb","herbs",,,,,,
"Verbena","Herbs, sometimes slightly woody at base, open or decumbent, matted or tufted, rarely glabrous. Leaves mostly decussate, rarely whorled, small, entire or variously incised or pinnatifid. Inflorescence an elongated to capitate spike, terminal, rarely axillary, usually densely many-flowered, often elongating after flowering. Flowers solitary in axil of a bract; calyx usually tubular, unequally and minutely 4- or 5-toothed; corolla-tube straight or slightly curved, lobes 5, slightly unequal and spreading; stamens in 2 unequal pairs, included in corolla-tube; ovary 4-locular with 1 ovule per locule. Fruit dry, separating at maturity into four 1-seeded mericarps."," herbs, sometimes slightly woody at base, open or decumbent, matted or tufted, rarely glabrous. ",,,"herb","herbs",,,,,"decumbent open","decumbent open"
"Frankenia crispa","Low, densely branched shrub; branches densely covered in appressed, recurved hairs; internodes 3–13 mm long. Leaves on long-shoot 2–6 mm long; petiole 0.8–1.5 mm long, narrowed markedly and more or less cylindric distally where 0.2–0.3 mm wide, usually hairy below; leaf-blade narrowly oblong, subterete, 0.7–1 mm wide; margins tightly revolute; midrib prominent, raised on lower surface; surfaces greyish yellow-green, punctate, upper surface glabrous, lower surface hairy or glabrous; short-shoot leaves similar. Flowers 2–7 in axillary dichasia or solitary. Calyx 5-lobed, 5–7 mm long, 1–1.5 mm wide near apex, wholly covered in short retrorse, incurved hairs or glabrous towards base; petals 5, 6–10 mm long; stamens 6; style-branches 3; ovules 3. Flowers most of year."," low, densely branched shrub; ",,,"shrub","shrub",,,,,,
"Actinidiaceae","Trees, shrubs or woody vines. Leaves simple, alternate, usually toothed; stipules absent. Inflorescence an axillary cyme or panicle, sometimes flowers solitary. Flowers bisexual or unisexual, actinomorphic; sepals (3–)5(–8), usually imbricate in bud; petals (3–)5(–9), free or shortly united at base, imbricate in bud; stamens (10–)20–240, often in clusters opposite petals, sometimes fused to base of corolla; anthers opening by longitudinal slits or apical pores; ovary superior, usually 3–5-locular; ovules numerous, placentation axile; styles equal in number to locules. Fruit a berry or leathery capsule (not in Victoria); seeds numerous."," trees, shrubs or woodyvines. ",,,"shrub tree climber_woody","shrubs trees woodyvines",,,,,,
"Cyperus exaltatus","Stout tussock-forming perennial. Culms trigonous, smooth, 100–180 cm high, to 8 mm diam. Leaves not septate-nodulose, as long as culms or longer, 5–15 mm wide. Inflorescence compound, with 5–10 primary branches to 18 cm long; spikes narrow-cylindric, 2–5 cm long, 0.5–1.5 cm diam.; involucral bracts leaf-like, 4–6 to 90 cm long. Spikelets flattened, numerous per spike, 4–18 mm long, 1–2 mm wide, 6–44-flowered; rachilla broadly winged, persistent; glumes obtuse, mucronate, with sides ± nerveless, yellow to dark yellow-brown, 1.5–2.0 mm long; stamens 3; style 3-fid. Nut trigonous, ellipsoid, yellow-brown, less than one-half as long as glume, 0.6–0.8 mm long, 0.3–0.5 diam. Flowers spring–summer."," stout tussock-forming perennial. ","perennial","perennial","tussock","tussock",,,,,"caespitose","tussock"
"Salvia","Annual or perennial herbs, rarely shrubs; branches with simple hairs and often, sessile glands. Leaves petiolate, opposite; margin entire, or crenate to deeply lobed. Inflorescences spike-like, of cymose clusters (often reduced to 1 or 2 flowers) in axils of leaves or bracts, forming pseudowhorls. Calyx 2-lipped, 13–15-nerved, adaxial lip 3-toothed to subentire, abaxial lip deeply 2-lobed; corolla 2-lipped, the adaxial lip erect, c. hooded, scarcely 2-lobed, abaxial lip 3-lobed, with median lobe broad and 2 lateral lobes narrow; stamens 2, fertile, locules separated by elongated connective, one locule abortive, staminodes 2, minute, sometimes absent; stigma unequally 2-fid. Mericarps smooth."," annual or perennial herbs, rarely shrubs; ","annual perennial","annual perennial","herb shrub","herbs shrubs",,,,,,
"Grevillea pachylostyla","Mounded to almost prostrate shrub to 1.5 m high. Branchlet indumentum loosely subsericeous or tomentose. Leaves 2–4 cm long, 2–3 cm wide, 5–11-partite, most primary lobes again 2-or 3-fid; ultimate lobes triangular, 5–12 mm long, 2–3 mm wide; lower surface densely woolly-pubescent; margin shortly recurved. Conflorescences usually decurved to pendulous or occasionally erect, usually simple, 3–5 cm long, weakly secund to subcylindric; rachis with more or less appressed hairs; perianth cream, outer surface with more or less appressed hairs, inner surface glabrous; pistil 16–18.5 mm long, ovary subsessile, subvillous, style cream, turning pink to red soon after anthesis, glabrous, pollen presenter oblique to nearly erect. Fruits subsericeous with purplish markings."," mounded to almost prostrate shrub to 1.5 m high. ",,,"shrub","shrub",,,,,"prostrate","prostrate"
"Centrolepis aristata","Leaves (5–)10–25(–65) mm long, ± erect and straight, glabrous. Inflorescence borne on an axis 7–50(–100) mm long, hence flowers held above the leaves; bracts glabrous, sometimes with minute triangular trichomes on midrib. Lower bract with a broad, brown to mustard-coloured, papery basal sheath (2.5–)3–4 mm long, abruptly narrowed into a ± flattened, straight lamina (8–)10–45 mm long. Upper bract with a broad, brown to mustard-coloured, papery basal sheath (2.5–-)3–4 mm long, abruptly narrowed into a ± flattened, straight lamina 3–15(–22) mm long. Inflorescence units 6–22(–40) per head-like cluster. Stamens (absent or) 1 per inflorescence unit, fused at base to each axis bearing carpels. Carpels 3–7 in subopposite to alternate pairs; styles c. 1.5–2 mm long, fused together for up to half their length. Flowers Oct.–Dec.","  ",,,,,,,,,,
"Caladenia cardiochila","Flowering plant 10–30 cm tall. Leaf 6–10 cm long, 3–8 mm wide, sometimes dotted red at base. Flowers 1 or 2; perianth segments 1.7–2.5 cm long, yellowish green with red stripes, sometimes wholly reddish; dorsal sepal c. 3 mm wide, erect or recurved; lateral sepals 3–5 mm wide, deflexed, hardly divergent and sometimes crossing, asymmetrically lanceolate, sometimes abruptly acuminate; petals c. 2 mm wide, spreading to deflexed, similar to sepals but narrower. Labellum curved forwards, cordate or broadly ovate, 3-lobed, 9–12 mm long and 8–10 mm wide (when flattened), yellowish-green with red markings (mostly on margins, veins and mid-lobe), lateral lobes more or less flat or curved slightly upwards, tip deflexed or slightly decurved; margins thickened and dark brown around mid-lobe, more or less entire; lamina calli in 2 or 4 crowded rows not or hardly extending onto mid-lobe (usually occupying less than two-thirds of labellum and finishing more than 3 mm from tip), stout and club-shaped, fleshy, dark-coloured. Flowers Sep.–Nov."," floweringplant 10–30 cm tall. ",,,,,,,,,,
"Phalaris canariensis","Tufted annual, culms erect or geniculate at base, sometimes branched, to 120 cm high. Leaves glabrous; blade to 30 cm long and 12 mm wide, finely scabrous; ligule obtuse, membranous, 3–8 mm long. Panicle very dense, ovoid, 1.5–5 cm long. Spikelets 6–9 mm long; glumes 3-nerved, equal, broadly winged on the keel above midway; sterile lemmas subequal, oblong, 2.5–4 mm long, acute at apex, glabrous or sparsely hairy; fertile lemma ovate-lanceolate, 5–6 mm long, with semi-appressed hairs. Flowers Sep.–Dec."," tufted annual, culms erect or geniculate at base, sometimes branched, to 120 cm high. ","annual","annual",,,,,,,"erect","erect"
"Plantago hispida","Taprooted perennial. Leaves rosetted, narrow-oblong to oblanceolate, mostly 4–9 cm long and 3–15 mm wide, usually obtuse, usually pubescent, 1–5-veined, margins toothed (sometimes obscurely); petiole to c. 3 cm long. Spike cylindric, mostly 1–6 cm long, congested; peduncles 3–30 cm long, pubescent; bracts ovate, 1–3 mm long, acute or obtuse, keel pubescent, margins ciliate. Sepals oblong-elliptic, usually 2.2–3 mm long, subequal; corolla-tube 1.5–2.5 mm long, lobes 1.3–2 mm long, spreading or reflexed; anthers 1–2.2 mm long, exserted. Capsule ovoid to ellipsoid, 2.8–3.5 mm long, style-base persistent; seeds 1–5, compressed-ellipsoid, 1–1.5 mm long, brown. Flowers Sep.–Mar."," taprooted perennial. ","perennial","perennial",,,,,,,,
"Pentapogon","Tufted perennial or annual; inflorescence a panicle. Spikelets 1-flowered; glumes 2, persistent; lemma 2-lobed at apex, with a strong, twisted central awn and two weaker awns either side, glabrous except for the tufted callus hairs."," tufted perennial or annual; ","annual perennial","annual perennial",,,,,,,,
"Suaeda baccifera","Procumbent or weakly erect annual or short-lived perennial, to c. 0.3 m high, glabrous, glaucous or grey-green, sometimes tinged pink. Leaves linear, acute, 5–15 mm long, 1–1.5 mm wide, margins narrowly membranous, transparent. Flower clusters axillary, forming rather dense leafy panicles; perianth of bisexual and female flowers similar, lobed from about midway. Fruiting perianth of at least bisexual flowers with inflated segments, depressed-globular, to c. 3 mm diam., female flowers with or without inflated segments, seed usually erect, sometimes horizontal; seed lenticular, 1–1.5 mm diam., testa black or dark reddish-brown, minutely reticulate (visible at × 20 magnification) Flowers mostly Nov.–Mar."," procumbent or weakly erect annual or shortlivedperennial, to circa 0.3 m high, glabrous, glaucous or grey-green, sometimes tinged pink. ","annual short_lived_perennial","annual shortlivedperennial",,,,,,,"erect prostrate","erect procumbent"
"Lactuca serriola f. serriola","Mid-stem leaves lobate to subpinnatisect, with 1–3 spreading or retrorse lobes per side; upper-stem leaves lobate, sometimes becoming entire upwards; branch leaves lobed or entire. Flowers spring–autumn.","  ",,,,,,,,,,
